,area_type,availability,location,size,total_sqft,bath,balcony,price
2833,Super built-up  Area,1,Jigani,2,918.0,2.0,2.0,63.2
2834,Super built-up  Area,1,Begur Road,3,1500.0,2.0,3.0,70.0
2835,Plot  Area,1,others,3,3000.0,3.0,0.0,250.0
2836,Super built-up  Area,1,Kasavanhalli,3,1476.0,3.0,0.0,89.0
2837,Super built-up  Area,0,Mysore Road,2,1200.0,2.0,3.0,65.0
2838,Super built-up  Area,0,Vijayanagar,1,606.0,1.0,0.0,34.78
2839,Super built-up  Area,1,others,2,1100.0,2.0,3.0,61.0
2840,Super built-up  Area,1,others,3,1295.0,2.0,1.0,59.5
2841,Built-up  Area,1,others,1,527.0,1.0,0.0,26.0
2842,Super built-up  Area,1,others,2,1300.0,2.0,2.0,80.0
2843,Plot  Area,1,Bommanahalli,3,680.0,4.0,1.0,68.0
2844,Plot  Area,1,others,1,1260.0,1.0,0.0,41.0
2845,Built-up  Area,1,Koramangala,2,1140.0,2.0,1.0,75.2
2846,Plot  Area,1,others,1,1500.0,1.0,0.0,37.5
2847,Super built-up  Area,0,Whitefield,3,2321.0,4.0,1.0,128.0
2848,Super built-up  Area,1,Sarjapur  Road,2,1390.0,2.0,2.0,62.0
2849,Super built-up  Area,1,Sarjapur  Road,3,1725.0,3.0,3.0,90.0
2850,Super built-up  Area,0,Hebbal,4,3067.0,4.0,1.0,310.0
2851,Super built-up  Area,0,Hennur Road,3,1186.0,2.0,1.0,63.0
2852,Super built-up  Area,0,Kanakpura Road,2,1230.0,2.0,1.0,85.0
2853,Built-up  Area,1,others,1,600.0,1.0,1.0,17.0
2854,Super built-up  Area,0,Yeshwanthpur,3,1313.0,3.0,1.0,96.0
2856,Super built-up  Area,1,Ambalipura,2,1250.0,2.0,2.0,66.25
2857,Plot  Area,1,others,9,1200.0,6.0,3.0,280.0
2858,Super built-up  Area,0,others,1,660.0,1.0,1.0,54.0
2859,Super built-up  Area,1,Basavangudi,2,1036.0,2.0,2.0,105.0
2860,Built-up  Area,1,Koramangala,4,2700.0,4.0,3.0,450.0
2861,Super built-up  Area,1,Old Madras Road,2,1100.0,2.0,1.0,70.0
2863,Plot  Area,1,BTM 2nd Stage,4,1500.0,2.0,1.0,450.0
2864,Plot  Area,1,others,4,525.0,5.0,2.0,56.0
2865,Built-up  Area,1,Electronics City Phase 1,2,1015.0,2.0,1.0,56.0
2866,Plot  Area,1,Gottigere,1,812.0,1.0,0.0,26.0
2867,Built-up  Area,1,others,3,1360.0,2.0,2.0,65.0
2868,Super built-up  Area,1,others,3,2167.0,3.0,3.0,170.0
2869,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1200.0,2.0,1.0,35.0
2870,Super built-up  Area,1,others,2,1165.0,2.0,2.0,75.0
2871,Super built-up  Area,1,BTM 2nd Stage,2,1274.0,2.0,2.0,70.0
2872,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1151.0,2.0,2.0,39.02
2873,Plot  Area,1,Vidyaranyapura,6,1060.0,6.0,3.0,110.0
2874,Super built-up  Area,1,others,3,1626.0,2.0,2.0,120.0
2875,Super built-up  Area,1,others,2,1035.0,2.0,2.0,35.77
2876,Plot  Area,1,others,3,1272.0,4.0,0.0,75.0
2877,Built-up  Area,1,others,2,965.0,2.0,1.0,45.0
2878,Plot  Area,1,others,5,1600.0,5.0,2.0,140.0
2879,Super built-up  Area,1,Kothannur,2,1070.0,2.0,1.0,42.79
2880,Built-up  Area,1,Raja Rajeshwari Nagar,3,1570.0,2.0,2.0,65.0
2882,Super built-up  Area,1,others,2,780.0,2.0,2.0,25.0
2883,Super built-up  Area,1,others,3,1000.0,2.0,1.0,65.0
2884,Plot  Area,1,9th Phase JP Nagar,4,1200.0,3.0,2.0,188.0
2885,Built-up  Area,1,others,7,7500.0,7.0,2.0,400.0
2886,Built-up  Area,1,5th Phase JP Nagar,3,1700.0,2.0,3.0,100.0
2888,Built-up  Area,1,others,2,904.0,2.0,1.0,30.0
2889,Super built-up  Area,1,others,2,1121.0,2.0,1.0,43.72
2890,Super built-up  Area,1,7th Phase JP Nagar,3,1385.0,2.0,2.0,58.17
2891,Super built-up  Area,1,Sahakara Nagar,2,1270.0,2.0,1.0,69.85
2892,Super built-up  Area,1,Kanakpura Road,3,1450.0,3.0,3.0,56.0
2893,Plot  Area,1,others,3,2400.0,4.0,2.0,325.0
2894,Super built-up  Area,1,Mahadevpura,1,730.0,1.0,1.0,35.0
2895,Super built-up  Area,1,Raja Rajeshwari Nagar,3,1580.0,3.0,3.0,53.56
2896,Super built-up  Area,1,Thanisandra,2,1111.0,2.0,1.0,50.0
2897,Plot  Area,1,Kengeri,4,1125.0,2.0,1.0,88.0
2898,Super built-up  Area,1,Varthur,2,977.0,2.0,2.0,36.0
2899,Super built-up  Area,0,others,2,674.0,1.0,1.0,19.9
2900,Plot  Area,0,Nagarbhavi,3,600.0,3.0,1.0,83.0
2901,Plot  Area,1,Sarjapur,4,2540.0,4.0,1.0,115.0
2902,Super built-up  Area,0,Jakkur,2,1290.0,2.0,1.0,100.0
2903,Plot  Area,1,Kumaraswami Layout,3,600.0,3.0,1.0,98.0
2904,Super built-up  Area,1,others,2,795.0,2.0,1.0,32.54
2905,Super built-up  Area,0,Kanakpura Road,2,700.0,1.0,1.0,35.0
2906,Built-up  Area,1,others,2,1463.0,1.0,1.0,142.0
2907,Built-up  Area,1,Vijayanagar,3,1000.0,3.0,0.0,140.0
2908,Super built-up  Area,1,others,3,1306.0,2.0,2.0,58.0
2909,Super built-up  Area,1,others,3,2401.0,3.0,2.0,185.0
2910,Plot  Area,1,others,4,1670.0,3.0,0.0,135.0
2911,Built-up  Area,1,others,3,1875.0,2.0,3.0,235.0
2912,Plot  Area,1,others,3,1200.0,3.0,1.0,90.0
2913,Super built-up  Area,1,Dodda Nekkundi,3,1804.0,3.0,2.0,121.0
2914,Super built-up  Area,1,others,3,2065.0,4.0,1.0,210.0
2915,Super built-up  Area,1,others,3,1225.0,3.0,1.0,40.0
2916,Super built-up  Area,0,Thanisandra,2,1185.5,2.0,0.0,58.68
2917,Super built-up  Area,1,Bellandur,2,900.0,2.0,2.0,56.0
2918,Super built-up  Area,0,others,2,1350.0,2.0,1.0,91.0
2919,Super built-up  Area,1,others,1,700.0,1.0,0.0,36.0
2920,Super built-up  Area,0,Mysore Road,2,1005.0,2.0,0.0,35.175
2921,Super built-up  Area,1,others,2,1160.0,2.0,1.0,46.39
2923,Carpet  Area,1,others,2,1043.0,2.0,2.0,55.0
2924,Plot  Area,1,others,4,1200.0,4.0,1.0,120.0
2925,Super built-up  Area,1,Hebbal,2,1040.0,2.0,2.0,46.0
2926,Super built-up  Area,1,others,3,1357.0,2.0,2.0,65.0
2927,Plot  Area,1,others,7,1600.0,7.0,1.0,104.0
2928,Super built-up  Area,0,others,2,1225.0,2.0,2.0,47.0
2929,Plot  Area,1,others,9,1500.0,6.0,1.0,80.0
2930,Super built-up  Area,1,others,2,1130.0,2.0,2.0,40.0
2931,Built-up  Area,1,Basavangudi,4,2500.0,4.0,1.0,150.0
2932,Carpet  Area,1,others,3,1700.0,3.0,3.0,120.0
2933,Super built-up  Area,1,Doddathoguru,3,1549.0,3.0,2.0,65.0
2934,Super built-up  Area,1,Yeshwanthpur,2,1400.0,2.0,2.0,100.0
2935,Super built-up  Area,1,Dodda Nekkundi,2,1080.0,2.0,2.0,50.0
2936,Built-up  Area,1,others,2,1180.0,2.0,2.0,100.0
2937,Plot  Area,1,others,7,780.0,7.0,3.0,150.0
2938,Super built-up  Area,1,others,3,1800.0,3.0,2.0,150.0
2939,Super built-up  Area,0,Haralur Road,2,1225.0,2.0,1.0,67.38
2940,Built-up  Area,1,others,1,890.0,1.0,1.0,75.0
2941,Super built-up  Area,1,others,2,1005.0,2.0,1.0,39.59
2942,Super built-up  Area,1,Whitefield,2,1320.0,2.0,1.0,95.0
2943,Built-up  Area,1,Anandapura,4,1475.0,2.0,1.0,50.0
2945,Super built-up  Area,1,others,2,1110.0,2.0,2.0,51.0
2946,Plot  Area,0,others,2,1300.0,2.0,0.0,54.0
2947,Plot  Area,1,others,5,600.0,3.0,1.0,86.0
2948,Super built-up  Area,0,Electronic City,2,1128.0,2.0,1.0,65.35
2949,Super built-up  Area,0,Jakkur,2,1452.19,2.0,1.0,100.0
2950,Plot  Area,1,others,3,2400.0,3.0,2.0,290.0
2951,Super built-up  Area,0,Banashankari,3,2600.0,4.0,1.0,135.0
2952,Super built-up  Area,1,others,3,2500.0,4.0,2.0,325.0
2953,Built-up  Area,1,others,2,630.0,1.0,1.0,35.0
2954,Super built-up  Area,1,Hosa Road,2,1243.0,2.0,2.0,48.5
2955,Built-up  Area,1,others,2,960.0,2.0,2.0,32.0
2956,Super built-up  Area,1,others,3,1690.0,3.0,2.0,100.0
2957,Built-up  Area,1,Whitefield,2,735.0,2.0,1.0,35.0
2958,Super built-up  Area,1,others,2,1365.0,2.0,2.0,73.0
2959,Super built-up  Area,1,Rajaji Nagar,5,2849.0,5.0,0.0,300.0
2960,Super built-up  Area,1,Hebbal,2,1420.0,2.0,1.0,99.39
2961,Super built-up  Area,1,Somasundara Palya,3,1570.0,3.0,3.0,68.0
2962,Super built-up  Area,1,Bisuvanahalli,2,850.0,1.0,1.0,32.0
2963,Super built-up  Area,1,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
2964,Super built-up  Area,1,Thigalarapalya,2,1418.0,2.0,2.0,104.0
2965,Super built-up  Area,1,Uttarahalli,2,1050.0,2.0,1.0,42.0
2966,Super built-up  Area,1,Hennur Road,2,1065.0,2.0,1.0,42.6
2967,Built-up  Area,1,others,3,1340.0,3.0,0.0,90.0
2968,Super built-up  Area,1,Yelahanka New Town,3,1610.0,3.0,2.0,92.0
2969,Built-up  Area,0,Electronic City Phase II,2,1160.0,2.0,1.0,33.5
2970,Super built-up  Area,1,Kudlu,2,1092.0,2.0,2.0,44.0
2972,Super built-up  Area,1,Yelahanka,3,1455.0,3.0,1.0,61.5
2973,Super built-up  Area,0,others,1,734.0,1.0,0.0,19.82
2974,Built-up  Area,1,others,2,799.0,2.0,1.0,38.0
2975,Built-up  Area,1,Whitefield,3,1896.0,3.0,1.0,75.0
2976,Super built-up  Area,1,others,2,1100.0,2.0,1.0,48.0
2977,Built-up  Area,1,Bellandur,2,1350.0,2.0,1.0,79.0
2978,Super built-up  Area,1,others,3,1355.0,3.0,1.0,61.0
2980,Plot  Area,1,others,2,1350.0,2.0,0.0,90.0
2981,Super built-up  Area,1,others,3,3875.0,3.0,2.0,864.0
2982,Super built-up  Area,1,Kasavanhalli,3,1493.0,3.0,2.0,82.0
2983,Super built-up  Area,1,8th Phase JP Nagar,2,1098.0,2.0,1.0,43.91
2984,Super built-up  Area,1,Banashankari,3,1900.0,2.0,1.0,170.0
2985,Super built-up  Area,1,others,3,1460.0,3.0,2.0,88.0
2986,Super built-up  Area,1,Frazer Town,3,2350.0,4.0,3.0,285.0
2987,Plot  Area,1,others,5,1600.0,5.0,3.0,140.0
2988,Super built-up  Area,1,Varthur,2,1091.0,2.0,1.0,32.0
2989,Super built-up  Area,1,Yelahanka,2,1180.0,2.0,3.0,42.0
2990,Super built-up  Area,0,Kanakpura Road,2,1366.0,3.0,1.0,76.85
2991,Super built-up  Area,1,others,3,1685.0,3.0,2.0,95.0
2992,Built-up  Area,1,Koramangala,2,1260.0,2.0,3.0,100.0
2993,Plot  Area,1,Whitefield,3,3010.0,3.0,2.0,200.0
2994,Plot  Area,1,Ramamurthy Nagar,3,1330.0,4.0,1.0,140.0
2995,Plot  Area,1,others,2,1200.0,2.0,0.0,130.0
2996,Super built-up  Area,0,Whitefield,2,1346.0,2.0,1.0,96.17
2997,Super built-up  Area,0,Chandapura,1,630.0,1.0,0.0,13.86
2999,Super built-up  Area,1,7th Phase JP Nagar,3,1850.0,3.0,2.0,140.0
3000,Plot  Area,1,Frazer Town,5,2350.0,2.0,0.0,423.0
3001,Super built-up  Area,1,Electronic City,2,755.0,1.0,1.0,34.0
3002,Plot  Area,1,others,5,800.0,5.0,2.0,98.0
3003,Super built-up  Area,1,others,2,1194.0,2.0,2.0,46.0
3005,Super built-up  Area,0,Hebbal,4,4235.0,4.0,2.0,365.0
3006,Plot  Area,0,others,1,800.0,1.0,0.0,52.0
3007,Super built-up  Area,1,Rachenahalli,3,2250.0,3.0,1.0,195.0
3008,Super built-up  Area,1,Vijayanagar,2,1352.0,2.0,2.0,68.0
3009,Super built-up  Area,1,Thanisandra,3,2002.0,3.0,2.0,112.0
3010,Plot  Area,1,others,4,4000.0,5.0,1.0,280.0
3011,Built-up  Area,1,others,2,1060.0,2.0,2.0,45.0
3012,Super built-up  Area,1,Kanakpura Road,3,1419.59,2.0,1.0,59.0
3013,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1196.0,2.0,2.0,51.15
3014,Built-up  Area,0,Electronic City,3,1220.0,2.0,2.0,35.24
3015,Super built-up  Area,0,Electronics City Phase 1,3,1595.0,3.0,2.0,75.0
3016,Super built-up  Area,1,Banashankari,2,1260.0,2.0,3.0,75.0
3017,Super built-up  Area,1,Hebbal,2,1100.0,2.0,2.0,47.0
3018,Super built-up  Area,1,Frazer Town,2,1550.0,2.0,2.0,140.0
3019,Super built-up  Area,1,others,2,1180.0,2.0,3.0,52.0
3020,Plot  Area,0,Electronic City,4,4000.0,5.0,1.0,150.0
3021,Built-up  Area,1,Akshaya Nagar,3,1662.0,3.0,2.0,85.0
3023,Plot  Area,1,Akshaya Nagar,4,1080.0,4.0,1.0,75.0
3024,Super built-up  Area,1,Ambedkar Nagar,3,1862.0,3.0,2.0,119.0
3025,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1419.0,2.0,2.0,48.0
3026,Built-up  Area,0,Whitefield,3,1410.0,3.0,2.0,43.71
3027,Super built-up  Area,1,Raja Rajeshwari Nagar,3,1560.0,2.0,2.0,62.4
3028,Plot  Area,1,others,5,1100.0,4.0,3.0,150.0
3029,Super built-up  Area,0,Thanisandra,3,1634.0,3.0,3.0,78.0
3030,Plot  Area,1,Ambedkar Nagar,5,5530.0,5.0,3.0,627.0
3031,Built-up  Area,1,Whitefield,3,1150.0,2.0,3.0,44.0
3033,Super built-up  Area,0,Yelahanka,3,1616.0,3.0,1.0,65.0
3034,Super built-up  Area,0,others,2,1392.0,2.0,1.0,99.0
3035,Super built-up  Area,0,Jakkur,3,1798.0,3.0,1.0,120.0
3036,Super built-up  Area,1,others,3,1675.0,3.0,3.0,75.0
3037,Plot  Area,1,others,2,792.0,2.0,1.0,70.0
3038,Super built-up  Area,1,others,5,2000.0,4.0,1.0,103.0
3039,Built-up  Area,1,others,7,600.0,7.0,3.0,89.0
3040,Super built-up  Area,0,Hebbal,3,1700.0,3.0,2.0,124.0
3041,Super built-up  Area,1,Hulimavu,2,1248.0,2.0,1.0,69.0
3042,Built-up  Area,1,others,2,1147.0,2.0,1.0,54.0
3043,Super built-up  Area,1,others,2,1100.0,2.0,2.0,40.0
3044,Super built-up  Area,1,Vijayanagar,3,1527.0,3.0,2.0,115.0
3045,Plot  Area,1,others,5,2400.0,5.0,2.0,235.0
3046,Super built-up  Area,0,Kanakpura Road,1,525.0,1.0,1.0,25.0
3047,Super built-up  Area,1,Kaggadasapura,2,1100.0,2.0,3.0,58.0
3048,Super built-up  Area,0,others,2,1118.0,2.0,2.0,37.5
3049,Super built-up  Area,0,Kanakapura,3,1476.0,3.0,1.0,75.0
3050,Built-up  Area,1,others,3,2100.0,3.0,1.0,75.0
3051,Super built-up  Area,0,others,3,1215.0,2.0,2.0,46.5
3052,Super built-up  Area,1,Ambalipura,2,1332.0,2.0,1.0,79.0
3053,Super built-up  Area,1,Hennur Road,2,1350.0,2.0,3.0,49.0
3054,Plot  Area,1,Kothannur,4,600.0,4.0,1.0,81.0
3056,Super built-up  Area,1,others,2,1105.0,2.0,2.0,49.73
3057,Plot  Area,1,Padmanabhanagar,3,1500.0,2.0,1.0,200.0
3058,Super built-up  Area,1,Kasavanhalli,2,1200.0,2.0,2.0,50.0
3059,Super built-up  Area,0,Ramagondanahalli,2,1251.0,2.0,1.0,47.4
3061,Super built-up  Area,1,others,3,1400.0,2.0,3.0,67.0
3062,Super built-up  Area,1,Rajaji Nagar,3,1800.0,3.0,3.0,260.0
3063,Super built-up  Area,1,Hegde Nagar,3,1703.0,3.0,2.0,113.0
3064,Super built-up  Area,1,others,5,2500.0,5.0,3.0,130.0
3066,Super built-up  Area,1,Jigani,2,933.0,2.0,2.0,43.0
3067,Plot  Area,1,others,1,461.82,1.0,1.0,31.7
3068,Super built-up  Area,1,Brookefield,2,1262.0,2.0,1.0,75.0
3069,Super built-up  Area,1,Yelahanka,2,915.0,2.0,2.0,48.0
3070,Super built-up  Area,1,Panathur,3,1370.0,2.0,2.0,61.5
3071,Super built-up  Area,1,others,2,1210.0,2.0,3.0,55.0
3072,Super built-up  Area,1,others,3,2392.0,4.0,2.0,260.0
3073,Plot  Area,0,others,3,1500.0,2.0,0.0,85.0
3074,Super built-up  Area,1,others,2,1065.0,2.0,3.0,50.0
3075,Super built-up  Area,1,Rajaji Nagar,4,3100.0,4.0,2.0,570.0
3076,Super built-up  Area,1,Ramamurthy Nagar,3,1515.0,3.0,3.0,65.0
3078,Super built-up  Area,1,Thanisandra,3,1445.0,2.0,3.0,40.31
3079,Super built-up  Area,1,Uttarahalli,3,1300.0,2.0,1.0,55.0
3080,Built-up  Area,1,Vijayanagar,2,989.0,2.0,0.0,60.0
3081,Super built-up  Area,1,Jakkur,2,1300.0,2.0,1.0,85.0
3082,Super built-up  Area,0,Chandapura,3,1185.0,2.0,2.0,30.22
3083,Plot  Area,1,others,5,1350.0,3.0,1.0,110.0
3084,Super built-up  Area,1,Marathahalli,2,1045.0,2.0,3.0,60.0
3085,Super built-up  Area,0,others,2,1205.0,2.0,2.0,42.18
3086,Super built-up  Area,1,others,2,1260.0,2.0,1.0,75.0
3087,Plot  Area,1,others,5,1320.0,5.0,2.0,199.0
3088,Super built-up  Area,1,others,3,1500.0,2.0,2.0,125.0
3089,Super built-up  Area,0,Bommanahalli,3,1250.0,2.0,2.0,42.5
3090,Built-up  Area,0,others,2,1199.0,2.0,2.0,50.0
3091,Super built-up  Area,1,Hennur Road,2,1385.0,2.0,1.0,83.09
3092,Plot  Area,1,others,6,1222.0,5.0,3.0,250.0
3093,Super built-up  Area,1,Lakshminarayana Pura,2,1149.0,2.0,1.0,75.0
3094,Super built-up  Area,1,Sarjapur  Road,3,2180.0,3.0,2.0,170.0
3095,Plot  Area,1,TC Palaya,8,1200.0,7.0,1.0,110.0
3097,Plot  Area,1,others,5,1200.0,5.0,0.0,195.0
3098,Super built-up  Area,1,Hulimavu,3,1818.0,3.0,1.0,135.0
3099,Super built-up  Area,1,others,2,1070.0,2.0,2.0,33.0
3100,Super built-up  Area,1,Rajaji Nagar,3,1640.0,3.0,2.0,241.0
3101,Built-up  Area,1,Nagarbhavi,3,1350.0,2.0,2.0,54.6
3102,Built-up  Area,1,Chandapura,2,630.0,1.0,1.0,27.0
3103,Super built-up  Area,0,Hoodi,2,1430.0,2.0,2.0,113.0
3104,Super built-up  Area,1,others,3,2430.0,4.0,3.0,180.0
3105,Plot  Area,1,others,6,1500.0,7.0,3.0,220.0
3106,Super built-up  Area,1,Sarjapur  Road,2,1084.0,2.0,3.0,55.0
3107,Super built-up  Area,1,Hennur Road,3,1186.0,2.0,1.0,56.0
3108,Built-up  Area,1,Kengeri,2,1255.0,2.0,2.0,50.0
3109,Super built-up  Area,1,Haralur Road,4,3400.0,5.0,3.0,240.0
3110,Super built-up  Area,0,Hosa Road,3,1541.0,3.0,1.0,69.84
3111,Super built-up  Area,1,others,4,3596.0,5.0,1.0,282.0
3112,Super built-up  Area,1,Raja Rajeshwari Nagar,2,1295.0,2.0,2.0,70.0
3115,Super built-up  Area,1,7th Phase JP Nagar,3,1370.0,2.0,2.0,54.79
3116,Super built-up  Area,1,Electronic City,2,1100.0,2.0,1.0,40.0
3117,Super built-up  Area,0,Hebbal,4,4772.0,6.0,2.0,510.0
3118,Super built-up  Area,1,Rajaji Nagar,2,1370.0,2.0,1.0,170.0
3119,Super built-up  Area,1,7th Phase JP Nagar,3,1370.0,2.0,1.0,54.79
3120,Super built-up  Area,1,JP Nagar,2,1200.0,2.0,2.0,62.0
3121,Plot  Area,1,others,4,2000.0,3.0,0.0,95.0
3123,Plot  Area,1,others,5,1200.0,4.0,3.0,240.0
3124,Plot  Area,1,Kengeri,4,2400.0,5.0,2.0,253.0
3125,Super built-up  Area,1,Sarjapur  Road,3,1220.0,3.0,2.0,62.0
3126,Built-up  Area,1,others,3,1950.0,3.0,2.0,130.0
3127,Super built-up  Area,1,Somasundara Palya,2,1178.0,2.0,3.0,73.0
3128,Super built-up  Area,1,others,3,1286.0,3.0,2.0,61.44
3129,Super built-up  Area,1,Begur Road,2,1160.0,2.0,2.0,42.0
3130,Super built-up  Area,1,Jigani,2,918.0,2.0,2.0,55.0
3131,Super built-up  Area,0,Electronic City,3,1563.0,3.0,2.0,91.84
3132,Super built-up  Area,0,others,2,1326.0,2.0,1.0,62.17
3133,Super built-up  Area,1,others,3,1350.0,2.0,2.0,140.0
3134,Super built-up  Area,0,Hebbal,4,3960.0,5.0,3.0,386.0
3135,Super built-up  Area,1,Begur Road,2,1240.0,2.0,2.0,39.06
3136,Super built-up  Area,1,Kaggadasapura,2,1325.0,2.0,2.0,50.0
3137,Super built-up  Area,1,others,2,1100.0,2.0,1.0,44.0
3138,Super built-up  Area,1,others,3,3875.0,3.0,2.0,800.0
3139,Super built-up  Area,1,others,3,1605.0,3.0,2.0,50.0
3140,Super built-up  Area,1,Hennur Road,5,5600.0,5.0,3.0,515.0
3141,Super built-up  Area,1,Somasundara Palya,2,1260.0,2.0,1.0,60.0
3142,Super built-up  Area,0,Hoodi,3,1553.0,3.0,2.0,83.09
3143,Super built-up  Area,1,Whitefield,2,1280.0,2.0,2.0,52.0
3144,Super built-up  Area,1,Hebbal,3,1550.0,2.0,2.0,75.0
3145,Super built-up  Area,1,others,3,1445.0,2.0,2.0,125.0
3146,Super built-up  Area,1,others,3,1550.0,3.0,2.0,74.0
3147,Super built-up  Area,1,Electronics City Phase 1,3,1515.0,2.0,1.0,80.91
3148,Super built-up  Area,0,Hosa Road,3,1332.0,2.0,1.0,86.12
3149,Super built-up  Area,1,Electronic City,3,1652.0,3.0,2.0,70.0
3150,Super built-up  Area,1,Hegde Nagar,3,1570.0,3.0,1.0,105.0
3151,Plot  Area,1,Sarjapur  Road,4,5400.0,4.0,3.0,725.0
3152,Super built-up  Area,1,others,1,794.0,1.0,1.0,60.0
3153,Plot  Area,1,others,3,1200.0,2.0,0.0,62.0
3154,Built-up  Area,1,7th Phase JP Nagar,4,3600.0,3.0,2.0,410.0
3155,Plot  Area,1,Hosakerehalli,3,1200.0,3.0,2.0,175.0
3156,Super built-up  Area,1,JP Nagar,4,1650.0,3.0,1.0,220.0
3157,Plot  Area,1,others,4,600.0,2.0,1.0,85.0
3158,Super built-up  Area,1,others,3,2800.0,3.0,2.0,250.0
3159,Super built-up  Area,1,Sarjapur  Road,3,1750.0,3.0,2.0,110.0
3160,Built-up  Area,1,Hebbal,2,1053.0,2.0,1.0,48.0
3162,Super built-up  Area,1,others,3,1665.0,3.0,3.0,70.0
3163,Plot  Area,1,others,4,4051.0,4.0,3.0,345.0
3164,Plot  Area,1,Malleshwaram,4,5500.0,5.0,1.0,1500.0
3165,Built-up  Area,1,Bommasandra,3,1447.0,3.0,2.0,80.0
3166,Built-up  Area,1,Balagere,2,1012.0,2.0,1.0,75.0
3167,Super built-up  Area,1,others,3,1900.0,3.0,2.0,60.0
3168,Super built-up  Area,1,others,2,1308.0,2.0,2.0,92.66
3170,Super built-up  Area,1,Hormavu,1,1351.0,2.0,1.0,53.0
3171,Super built-up  Area,1,Electronic City,2,1000.0,2.0,2.0,22.0
3172,Plot  Area,1,others,4,1200.0,4.0,2.0,350.0
3173,Super built-up  Area,0,others,2,1140.0,2.0,2.0,49.11
3174,Super built-up  Area,0,Jakkur,4,3181.0,4.0,0.0,260.5
3175,Built-up  Area,1,Uttarahalli,3,1250.0,2.0,1.0,55.0
3176,Super built-up  Area,1,Kanakapura,3,1290.0,3.0,3.0,45.15
3178,Super built-up  Area,1,others,3,1320.0,2.0,2.0,60.6
3179,Built-up  Area,1,Akshaya Nagar,3,1662.0,3.0,2.0,85.5
3180,Super built-up  Area,1,others,5,8321.0,5.0,3.0,2700.0
3183,Super built-up  Area,1,others,3,1295.0,2.0,2.0,59.5
3184,Super built-up  Area,1,others,3,1777.0,3.0,2.0,100.0
3186,Super built-up  Area,0,Anandapura,3,1576.0,3.0,2.0,59.1
3187,Super built-up  Area,1,others,2,1020.0,2.0,3.0,41.0
3188,Super built-up  Area,1,others,3,2100.0,3.0,3.0,170.0
3189,Super built-up  Area,0,Raja Rajeshwari Nagar,1,648.0,1.0,1.0,31.75
3190,Super built-up  Area,1,others,3,1167.0,2.0,1.0,38.0
3191,Plot  Area,1,others,7,1000.0,7.0,3.0,160.0
3192,Super built-up  Area,1,Hoodi,2,1220.0,2.0,2.0,50.89
3193,Super built-up  Area,1,others,3,2350.0,5.0,1.0,327.0
3194,Super built-up  Area,1,Vittasandra,2,1259.0,2.0,1.0,67.4
3195,Built-up  Area,1,Gottigere,4,2000.0,4.0,2.0,82.0
3196,Super built-up  Area,1,8th Phase JP Nagar,3,1800.0,3.0,1.0,80.0
3197,Built-up  Area,1,others,3,1991.0,3.0,2.0,160.0
3198,Super built-up  Area,1,others,3,1665.0,3.0,3.0,110.0
3199,Built-up  Area,0,others,2,1234.0,2.0,1.0,61.0
3200,Super built-up  Area,1,Mysore Road,3,1340.0,2.0,2.0,64.31
3201,Super built-up  Area,1,Banashankari,2,1170.0,2.0,2.0,46.79
3202,Built-up  Area,1,Electronics City Phase 1,2,995.0,2.0,0.0,46.0
3203,Super built-up  Area,1,Old Airport Road,2,1075.0,2.0,2.0,60.0
3204,Super built-up  Area,0,Electronic City,2,1025.0,2.0,1.0,54.5
3205,Super built-up  Area,1,Rachenahalli,3,2721.0,3.0,2.0,113.0
3206,Super built-up  Area,1,Thanisandra,3,2000.0,3.0,2.0,99.0
3207,Super built-up  Area,1,Whitefield,4,2500.0,4.0,3.0,155.0
3208,Super built-up  Area,1,others,2,1325.0,2.0,2.0,70.0
3209,Super built-up  Area,0,Kadugodi,2,1314.0,2.0,3.0,68.2
3210,Super built-up  Area,0,Kanakpura Road,3,2265.0,3.0,2.0,136.0
3211,Built-up  Area,1,7th Phase JP Nagar,7,4800.0,7.0,0.0,170.0
3212,Super built-up  Area,0,Yelahanka,2,1026.0,2.0,1.0,41.0
3213,Built-up  Area,1,others,3,1200.0,3.0,2.0,66.0
3214,Built-up  Area,1,others,3,2220.0,4.0,2.0,65.0
3215,Super built-up  Area,0,KR Puram,2,1192.5,2.0,0.0,51.22
3216,Super built-up  Area,0,Hebbal,2,1420.0,2.0,1.0,99.39
3217,Super built-up  Area,1,Sarjapur  Road,3,1888.0,4.0,1.0,95.0
3218,Super built-up  Area,0,JP Nagar,2,1300.0,2.0,1.0,90.87
3219,Super built-up  Area,0,Rajaji Nagar,2,1216.0,2.0,0.0,97.16
3220,Plot  Area,0,others,4,3000.0,4.0,3.0,342.0
3221,Built-up  Area,1,others,3,1559.0,3.0,2.0,63.0
3222,Super built-up  Area,1,Harlur,2,1290.0,2.0,1.0,87.0
3224,Built-up  Area,0,Whitefield,1,905.0,1.0,1.0,55.0
3226,Super built-up  Area,0,others,2,829.0,2.0,1.0,22.8
3227,Built-up  Area,1,Koramangala,2,1900.0,2.0,1.0,200.0
