,availability,size,total_sqft,bath,balcony,price,area_type_n,location_n
3038,1,5,2000.0,4.0,1.0,103.0,3,112
3040,0,3,1700.0,3.0,2.0,124.0,3,42
3041,1,2,1248.0,2.0,1.0,69.0,3,53
3042,1,2,1147.0,2.0,1.0,54.0,0,112
3043,1,2,1100.0,2.0,2.0,40.0,3,112
3044,1,3,1527.0,3.0,2.0,115.0,3,106
3045,1,5,2400.0,5.0,2.0,235.0,2,112
3046,0,1,525.0,1.0,1.0,25.0,3,65
3047,1,2,1100.0,2.0,3.0,58.0,3,61
3048,0,2,1118.0,2.0,2.0,37.5,3,112
3049,0,3,1476.0,3.0,1.0,75.0,3,64
3050,1,3,2100.0,3.0,1.0,75.0,0,112
3051,0,3,1215.0,2.0,2.0,46.5,3,112
3052,1,2,1332.0,2.0,1.0,79.0,3,5
3053,1,2,1350.0,2.0,3.0,49.0,3,46
3054,1,4,600.0,4.0,1.0,81.0,2,71
3056,1,2,1105.0,2.0,2.0,49.73,3,112
3057,1,3,1500.0,2.0,1.0,200.0,2,85
3058,1,2,1200.0,2.0,2.0,50.0,3,66
3059,0,2,1251.0,2.0,1.0,47.4,3,91
3061,1,3,1400.0,2.0,3.0,67.0,3,112
3062,1,3,1800.0,3.0,3.0,260.0,3,90
3063,1,3,1703.0,3.0,2.0,113.0,3,44
3064,1,5,2500.0,5.0,3.0,130.0,3,112
3066,1,2,933.0,2.0,2.0,43.0,3,58
3067,1,1,461.82,1.0,1.0,31.7,2,112
3068,1,2,1262.0,2.0,1.0,75.0,3,23
3069,1,2,915.0,2.0,2.0,48.0,3,109
3070,1,3,1370.0,2.0,2.0,61.5,3,86
3071,1,2,1210.0,2.0,3.0,55.0,3,112
3072,1,3,2392.0,4.0,2.0,260.0,3,112
3073,0,3,1500.0,2.0,0.0,85.0,2,112
3074,1,2,1065.0,2.0,3.0,50.0,3,112
3075,1,4,3100.0,4.0,2.0,570.0,3,90
3076,1,3,1515.0,3.0,3.0,65.0,3,92
3078,1,3,1445.0,2.0,3.0,40.31,3,100
3079,1,3,1300.0,2.0,1.0,55.0,3,103
3080,1,2,989.0,2.0,0.0,60.0,0,106
3081,1,2,1300.0,2.0,1.0,85.0,3,56
3082,0,3,1185.0,2.0,2.0,30.22,3,26
3083,1,5,1350.0,3.0,1.0,110.0,2,112
3084,1,2,1045.0,2.0,3.0,60.0,3,80
3085,0,2,1205.0,2.0,2.0,42.18,3,112
3086,1,2,1260.0,2.0,1.0,75.0,3,112
3087,1,5,1320.0,5.0,2.0,199.0,2,112
3088,1,3,1500.0,2.0,2.0,125.0,3,112
3089,0,3,1250.0,2.0,2.0,42.5,3,20
3090,0,2,1199.0,2.0,2.0,50.0,0,112
3091,1,2,1385.0,2.0,1.0,83.09,3,46
3092,1,6,1222.0,5.0,3.0,250.0,2,112
3093,1,2,1149.0,2.0,1.0,75.0,3,77
3094,1,3,2180.0,3.0,2.0,170.0,3,95
3095,1,8,1200.0,7.0,1.0,110.0,2,98
3097,1,5,1200.0,5.0,0.0,195.0,2,112
3098,1,3,1818.0,3.0,1.0,135.0,3,53
3099,1,2,1070.0,2.0,2.0,33.0,3,112
3100,1,3,1640.0,3.0,2.0,241.0,3,90
3101,1,3,1350.0,2.0,2.0,54.6,0,82
3102,1,2,630.0,1.0,1.0,27.0,0,26
3103,0,2,1430.0,2.0,2.0,113.0,3,47
3104,1,3,2430.0,4.0,3.0,180.0,3,112
3105,1,6,1500.0,7.0,3.0,220.0,2,112
3106,1,2,1084.0,2.0,3.0,55.0,3,95
3107,1,3,1186.0,2.0,1.0,56.0,3,46
3108,1,2,1255.0,2.0,2.0,50.0,0,67
3109,1,4,3400.0,5.0,3.0,240.0,3,40
3110,0,3,1541.0,3.0,1.0,69.84,3,50
3111,1,4,3596.0,5.0,1.0,282.0,3,112
3112,1,2,1295.0,2.0,2.0,70.0,3,89
3115,1,3,1370.0,2.0,2.0,54.79,3,1
3116,1,2,1100.0,2.0,1.0,40.0,3,32
3117,0,4,4772.0,6.0,2.0,510.0,3,42
3118,1,2,1370.0,2.0,1.0,170.0,3,90
3119,1,3,1370.0,2.0,1.0,54.79,3,1
3120,1,2,1200.0,2.0,2.0,62.0,3,55
3121,1,4,2000.0,3.0,0.0,95.0,2,112
3123,1,5,1200.0,4.0,3.0,240.0,2,112
3124,1,4,2400.0,5.0,2.0,253.0,2,67
3125,1,3,1220.0,3.0,2.0,62.0,3,95
3126,1,3,1950.0,3.0,2.0,130.0,0,112
3127,1,2,1178.0,2.0,3.0,73.0,3,96
3128,1,3,1286.0,3.0,2.0,61.44,3,112
3129,1,2,1160.0,2.0,2.0,42.0,3,16
3130,1,2,918.0,2.0,2.0,55.0,3,58
3131,0,3,1563.0,3.0,2.0,91.84,3,32
3132,0,2,1326.0,2.0,1.0,62.17,3,112
3133,1,3,1350.0,2.0,2.0,140.0,3,112
3134,0,4,3960.0,5.0,3.0,386.0,3,42
3135,1,2,1240.0,2.0,2.0,39.06,3,16
3136,1,2,1325.0,2.0,2.0,50.0,3,61
3137,1,2,1100.0,2.0,1.0,44.0,3,112
3139,1,3,1605.0,3.0,2.0,50.0,3,112
3140,1,5,5600.0,5.0,3.0,515.0,3,46
3141,1,2,1260.0,2.0,1.0,60.0,3,96
3142,0,3,1553.0,3.0,2.0,83.09,3,47
3143,1,2,1280.0,2.0,2.0,52.0,3,108
3144,1,3,1550.0,2.0,2.0,75.0,3,42
3145,1,3,1445.0,2.0,2.0,125.0,3,112
3146,1,3,1550.0,3.0,2.0,74.0,3,112
3147,1,3,1515.0,2.0,1.0,80.91,3,34
3148,0,3,1332.0,2.0,1.0,86.12,3,50
3149,1,3,1652.0,3.0,2.0,70.0,3,32
3150,1,3,1570.0,3.0,1.0,105.0,3,44
3152,1,1,794.0,1.0,1.0,60.0,3,112
3153,1,3,1200.0,2.0,0.0,62.0,2,112
3154,1,4,3600.0,3.0,2.0,410.0,0,1
3155,1,3,1200.0,3.0,2.0,175.0,2,51
3156,1,4,1650.0,3.0,1.0,220.0,3,55
3157,1,4,600.0,2.0,1.0,85.0,2,112
3158,1,3,2800.0,3.0,2.0,250.0,3,112
3159,1,3,1750.0,3.0,2.0,110.0,3,95
3160,1,2,1053.0,2.0,1.0,48.0,0,42
3162,1,3,1665.0,3.0,3.0,70.0,3,112
3163,1,4,4051.0,4.0,3.0,345.0,2,112
3165,1,3,1447.0,3.0,2.0,80.0,0,21
3166,1,2,1012.0,2.0,1.0,75.0,0,12
3167,1,3,1900.0,3.0,2.0,60.0,3,112
3168,1,2,1308.0,2.0,2.0,92.66,3,112
3171,1,2,1000.0,2.0,2.0,22.0,3,32
3172,1,4,1200.0,4.0,2.0,350.0,2,112
3173,0,2,1140.0,2.0,2.0,49.11,3,112
3174,0,4,3181.0,4.0,0.0,260.5,3,56
3175,1,3,1250.0,2.0,1.0,55.0,0,103
3176,1,3,1290.0,3.0,3.0,45.15,3,64
3178,1,3,1320.0,2.0,2.0,60.6,3,112
3179,1,3,1662.0,3.0,2.0,85.5,0,4
3183,1,3,1295.0,2.0,2.0,59.5,3,112
3184,1,3,1777.0,3.0,2.0,100.0,3,112
3186,0,3,1576.0,3.0,2.0,59.1,3,7
3187,1,2,1020.0,2.0,3.0,41.0,3,112
3188,1,3,2100.0,3.0,3.0,170.0,3,112
3189,0,1,648.0,1.0,1.0,31.75,3,89
3190,1,3,1167.0,2.0,1.0,38.0,3,112
3192,1,2,1220.0,2.0,2.0,50.89,3,47
3194,1,2,1259.0,2.0,1.0,67.4,3,107
3195,1,4,2000.0,4.0,2.0,82.0,0,36
3196,1,3,1800.0,3.0,1.0,80.0,3,2
3197,1,3,1991.0,3.0,2.0,160.0,0,112
3198,1,3,1665.0,3.0,3.0,110.0,3,112
3199,0,2,1234.0,2.0,1.0,61.0,0,112
3200,1,3,1340.0,2.0,2.0,64.31,3,81
3201,1,2,1170.0,2.0,2.0,46.79,3,13
3202,1,2,995.0,2.0,0.0,46.0,0,34
3203,1,2,1075.0,2.0,2.0,60.0,3,83
3204,0,2,1025.0,2.0,1.0,54.5,3,32
3205,1,3,2721.0,3.0,2.0,113.0,3,88
3206,1,3,2000.0,3.0,2.0,99.0,3,100
3207,1,4,2500.0,4.0,3.0,155.0,3,108
3208,1,2,1325.0,2.0,2.0,70.0,3,112
3209,0,2,1314.0,2.0,3.0,68.2,3,60
3210,0,3,2265.0,3.0,2.0,136.0,3,65
3211,1,7,4800.0,7.0,0.0,170.0,0,1
3212,0,2,1026.0,2.0,1.0,41.0,3,109
3213,1,3,1200.0,3.0,2.0,66.0,0,112
3214,1,3,2220.0,4.0,2.0,65.0,0,112
3215,0,2,1192.5,2.0,0.0,51.22,3,59
3216,0,2,1420.0,2.0,1.0,99.39,3,42
3217,1,3,1888.0,4.0,1.0,95.0,3,95
3218,0,2,1300.0,2.0,1.0,90.87,3,55
3219,0,2,1216.0,2.0,0.0,97.16,3,90
3220,0,4,3000.0,4.0,3.0,342.0,2,112
3221,1,3,1559.0,3.0,2.0,63.0,0,112
3222,1,2,1290.0,2.0,1.0,87.0,3,41
3224,0,1,905.0,1.0,1.0,55.0,0,108
3226,0,2,829.0,2.0,1.0,22.8,3,112
3227,1,2,1900.0,2.0,1.0,200.0,0,70
3229,1,3,1300.0,3.0,2.0,60.0,0,95
3230,1,2,1115.0,2.0,1.0,33.45,3,27
3231,1,3,2409.0,3.0,2.0,360.0,3,90
3232,1,3,2150.0,4.0,2.0,125.0,3,6
3233,0,3,1305.0,2.0,1.0,69.0,3,80
3234,0,2,1252.0,2.0,1.0,56.32,3,65
3236,0,2,1200.0,2.0,1.0,46.13,2,108
3237,1,3,1750.0,3.0,1.0,130.0,0,70
3238,1,2,545.0,1.0,1.0,35.0,3,33
3239,1,2,1375.0,2.0,1.0,105.0,2,112
3240,1,2,1313.0,2.0,2.0,66.5,3,97
3241,1,4,3640.0,4.0,1.0,275.0,2,10
3242,0,3,1693.0,3.0,2.0,108.0,3,112
3243,1,2,1160.0,2.0,1.0,41.75,3,112
3244,1,3,1200.0,3.0,0.0,200.0,2,112
3245,1,3,1255.0,2.0,2.0,79.0,3,97
3246,1,4,1000.0,4.0,1.0,75.0,2,59
3247,1,2,900.0,2.0,1.0,45.0,0,112
3248,1,3,1700.0,3.0,2.0,90.0,3,110
3249,1,3,1875.0,3.0,1.0,180.0,1,54
3250,1,3,1700.0,3.0,2.0,88.0,1,103
3251,1,3,1749.0,3.0,2.0,115.0,3,41
3252,1,2,1500.0,3.0,1.0,65.0,2,112
3253,1,2,1175.0,2.0,1.0,48.0,3,112
3254,1,2,1280.0,2.0,1.0,60.0,0,4
3255,1,2,1200.0,2.0,2.0,50.0,0,112
3256,1,3,1610.0,2.0,2.0,115.0,3,91
3257,1,2,1070.0,2.0,1.0,46.0,3,32
3258,1,2,1200.0,2.0,0.0,66.0,2,98
3259,0,2,1127.0,2.0,1.0,50.0,3,3
3260,1,2,1210.0,2.0,1.0,102.0,0,54
3261,1,2,600.0,2.0,1.0,23.0,0,112
3262,1,4,4190.0,4.0,3.0,380.0,3,101
3263,1,2,1364.0,2.0,2.0,70.0,3,112
3264,1,4,2268.0,3.0,0.0,146.0,3,108
3265,1,3,1150.0,2.0,2.0,77.5,3,112
3266,1,2,1146.0,2.0,1.0,39.5,3,112
3267,1,2,1345.0,2.0,2.0,55.0,0,112
3268,1,2,1110.0,2.0,2.0,41.0,3,112
3269,1,2,750.0,2.0,1.0,36.0,0,67
3270,1,2,1156.0,2.0,2.0,49.5,0,112
3271,1,2,1247.0,2.0,1.0,59.8,3,112
3272,1,2,1058.0,2.0,2.0,60.0,3,112
3273,1,2,950.0,2.0,1.0,48.0,3,112
3274,1,2,420.0,2.0,0.0,35.0,3,112
3275,1,4,600.0,2.0,2.0,90.0,2,112
3276,0,3,1520.0,2.0,1.0,103.0,3,106
3278,1,1,900.0,1.0,1.0,30.0,0,112
3279,1,3,2350.0,3.0,2.0,174.0,3,46
3280,1,2,1050.0,2.0,2.0,46.0,3,100
3281,1,3,1672.0,3.0,2.0,150.0,3,112
3282,1,5,2800.0,5.0,2.0,125.0,2,112
3283,1,3,1500.0,2.0,2.0,65.0,3,112
3284,1,2,1400.0,2.0,2.0,65.0,3,112
3286,1,4,2700.0,4.0,2.0,130.0,0,2
3287,0,2,920.0,2.0,1.0,37.46,3,21
3288,0,3,1200.0,3.0,2.0,70.0,2,95
3289,1,3,1250.0,3.0,2.0,139.0,0,112
3293,1,4,4346.0,4.0,1.0,450.0,0,109
3294,1,2,1464.0,2.0,2.0,56.0,3,40
3295,1,2,1468.0,3.0,2.0,130.0,3,112
3296,1,3,1555.0,2.0,1.0,82.0,3,34
3297,1,6,1200.0,4.0,2.0,110.0,2,112
3298,1,2,1150.0,2.0,0.0,55.0,0,108
3299,0,2,970.0,2.0,1.0,35.0,3,112
3300,0,4,2500.0,4.0,3.0,95.0,3,13
3301,1,2,1166.0,2.0,1.0,53.0,3,112
3302,1,3,2779.0,3.0,1.0,317.0,2,112
3303,1,3,1350.0,3.0,2.0,58.0,3,32
3304,1,2,900.0,2.0,3.0,46.0,0,112
3306,1,3,1190.0,3.0,1.0,55.0,0,112
3307,1,3,1495.0,2.0,2.0,75.0,3,69
3308,1,2,1224.0,2.0,2.0,105.0,0,54
3309,1,3,1350.0,2.0,2.0,68.0,3,112
3310,1,2,940.0,2.0,1.0,56.8,0,37
3311,1,2,1100.0,2.0,1.0,55.0,3,89
3312,1,2,1300.0,2.0,2.0,61.0,3,112
3313,1,3,1480.0,2.0,0.0,145.0,0,112
3314,1,2,1105.0,2.0,2.0,46.37,3,47
3315,0,3,2600.0,3.0,2.0,200.0,2,95
3316,0,3,1517.0,3.0,2.0,76.3,3,109
3317,1,6,3800.0,8.0,0.0,200.0,0,112
3318,1,3,1615.0,3.0,2.0,89.75,3,57
3319,1,3,1500.0,3.0,2.0,65.0,3,112
3320,1,3,1082.0,3.0,1.0,50.5,3,81
3321,1,2,1365.0,2.0,2.0,73.0,3,80
3322,1,2,1000.0,2.0,3.0,25.0,3,32
3323,1,2,1392.0,2.0,1.0,98.0,3,25
3324,0,2,1086.0,2.0,1.0,33.66,3,112
3325,1,3,1586.0,3.0,3.0,93.94,3,46
3326,1,2,1100.0,2.0,1.0,60.0,0,45
3327,0,2,1065.0,2.0,1.0,30.75,3,33
3328,1,3,1500.0,2.0,1.0,120.0,2,98
3329,1,3,1575.0,2.0,2.0,120.0,0,1
3330,1,3,1975.0,3.0,3.0,123.0,3,46
3331,1,2,820.0,2.0,2.0,24.0,3,112
3332,1,3,1745.0,3.0,2.0,110.0,3,38
3333,1,2,1223.0,2.0,1.0,60.0,3,82
3334,1,3,1200.0,2.0,1.0,65.0,3,8
3335,1,2,1200.0,2.0,0.0,90.0,3,112
3336,0,1,665.0,1.0,1.0,46.08,3,112
3337,1,2,1351.0,2.0,2.0,70.0,3,112
3338,0,3,1355.0,3.0,1.0,83.87,3,42
3340,0,3,1588.0,3.0,1.0,75.55,3,100
3341,1,2,900.0,2.0,1.0,60.0,1,112
3344,1,3,1370.0,2.0,2.0,75.0,3,86
3345,0,3,1500.0,3.0,1.0,71.8,2,108
3347,0,3,1100.0,3.0,2.0,53.0,3,65
3348,1,2,1247.0,2.0,0.0,53.0,0,47
3349,0,3,2000.0,3.0,2.0,200.0,3,112
3350,0,2,1020.07,2.0,1.0,68.38,3,12
3351,0,3,1033.0,2.0,2.0,32.0,3,112
3352,1,3,1460.0,2.0,3.0,73.0,0,112
3353,1,2,1150.0,2.0,2.0,52.8,3,112
3355,1,2,1141.0,2.0,1.0,46.0,3,112
3356,1,4,2912.5,6.0,0.0,125.5,3,109
3357,1,4,4200.0,4.0,3.0,325.0,2,112
3358,0,3,1665.0,2.0,3.0,125.0,3,50
3359,0,2,1295.0,2.0,2.0,64.0,3,64
3360,0,2,1230.0,2.0,1.0,78.0,3,40
3361,1,3,1080.0,2.0,2.0,75.0,3,112
3362,1,2,1000.0,2.0,1.0,60.0,3,112
3363,1,3,2400.0,2.0,0.0,50.0,3,112
3364,0,1,630.5,1.0,0.0,32.79,3,108
3365,0,3,1708.0,3.0,2.0,75.0,3,112
3366,1,3,1697.0,3.0,2.0,115.0,3,100
3367,1,4,3537.0,5.0,3.0,210.0,3,108
3368,0,1,615.0,1.0,1.0,28.29,3,50
3369,1,3,1350.0,2.0,0.0,83.0,0,13
3371,0,2,1083.0,2.0,1.0,32.49,3,57
3372,1,3,1460.0,2.0,2.0,65.0,3,36
3373,1,2,1084.0,2.0,1.0,58.0,3,112
3374,0,2,1035.0,2.0,1.0,41.43,3,21
3375,1,3,2400.0,2.0,1.0,150.0,3,112
3376,1,1,460.0,1.0,1.0,21.0,3,52
3378,1,2,1285.0,2.0,2.0,55.9,3,108
3380,1,3,1200.0,3.0,2.0,78.0,2,94
3381,1,2,1070.0,2.0,1.0,35.0,0,112
3382,1,3,1801.0,3.0,2.0,140.0,3,44
3383,0,3,1697.0,3.0,2.0,115.0,3,108
3384,1,2,1199.0,2.0,2.0,65.0,3,112
3385,1,3,2300.0,3.0,1.0,220.0,3,112
3386,1,3,1340.0,2.0,3.0,64.31,3,81
3387,1,4,3800.0,4.0,3.0,205.0,3,80
3389,1,2,1125.0,2.0,1.0,75.0,3,112
3390,1,2,1200.0,2.0,1.0,67.0,2,7
3391,1,2,1050.0,2.0,3.0,41.0,0,97
3392,1,2,956.0,2.0,1.0,49.0,0,82
3393,1,2,1000.0,2.0,2.0,30.0,3,94
3394,1,3,1596.0,3.0,0.0,95.0,0,112
3395,1,6,1200.0,5.0,1.0,150.0,2,112
3396,0,2,1296.0,2.0,3.0,89.06,3,65
3398,1,3,1639.0,3.0,3.0,123.0,0,112
3399,1,2,1219.0,2.0,1.0,61.25,3,33
3400,1,3,1200.0,3.0,1.0,50.0,0,103
3401,1,2,1218.0,2.0,1.0,73.0,3,14
3402,1,2,920.0,2.0,3.0,37.0,3,112
3403,1,3,2559.0,3.0,2.0,141.0,3,111
3404,0,1,525.0,1.0,1.0,26.0,3,112
3405,0,3,1427.0,2.0,2.0,48.51,3,14
3406,0,3,1270.0,3.0,2.0,45.0,3,71
3407,1,2,920.0,2.0,3.0,65.0,0,91
3408,1,4,2700.0,3.0,2.0,68.0,0,112
3409,1,3,1740.0,3.0,2.0,199.0,3,112
3411,1,3,1530.0,2.0,2.0,90.0,3,112
3412,1,3,1372.0,2.0,1.0,90.0,1,112
3413,1,4,2363.0,5.0,2.0,120.0,3,112
3414,1,4,3895.0,4.0,3.0,220.0,3,80
3415,0,3,1950.0,3.0,2.0,131.0,3,56
3416,1,2,885.0,2.0,3.0,40.0,0,112
3417,1,2,600.0,2.0,2.0,27.0,0,109
3418,1,5,1270.0,4.0,1.0,128.0,2,75
3419,1,2,1380.0,2.0,0.0,225.0,2,106
3420,1,2,1339.0,2.0,2.0,62.0,3,65
3421,1,2,1130.0,2.0,1.0,36.0,3,108
3422,1,2,1085.0,2.0,2.0,43.0,0,103
3423,1,3,1430.0,3.0,2.0,72.0,0,111
3424,0,4,1451.5,4.0,1.0,121.0,1,18
3426,1,3,1490.0,2.0,1.0,59.6,3,112
3427,1,4,1650.0,4.0,0.0,99.0,0,112
3428,1,2,1286.0,2.0,2.0,57.0,3,17
3429,1,2,925.0,2.0,2.0,63.0,0,112
3430,1,4,3016.0,4.0,3.0,230.0,3,17
3431,1,2,1000.0,2.0,2.0,44.0,0,40
3432,1,2,1215.0,2.0,2.0,39.0,3,108
3433,1,4,1200.0,3.0,1.0,95.0,2,112
3434,1,2,1336.0,2.0,2.0,100.0,3,77
3435,1,1,673.0,1.0,1.0,36.85,3,111
3436,1,2,1200.0,2.0,1.0,58.0,2,7
3438,1,3,1600.0,3.0,3.0,160.0,3,79
3439,1,2,1200.0,2.0,0.0,79.0,2,112
3440,1,6,2480.0,4.0,1.0,750.0,2,54
3442,1,5,2400.0,5.0,3.0,100.0,2,29
3443,1,2,1143.0,2.0,2.0,65.0,3,112
3444,1,2,1470.0,2.0,2.0,61.74,3,65
3445,1,4,1584.0,3.0,2.0,145.0,2,112
3446,1,3,1785.0,3.0,2.0,94.0,3,80
3447,1,3,2292.0,3.0,2.0,286.0,3,70
3448,1,3,1460.0,3.0,3.0,71.0,3,72
3449,1,3,1500.0,2.0,3.0,80.0,3,112
3450,1,5,1200.0,4.0,1.0,140.0,2,109
3452,1,2,1230.0,2.0,2.0,48.0,3,28
3453,1,1,650.0,1.0,1.0,20.0,3,110
3455,1,2,1220.0,2.0,1.0,43.92,3,100
3456,1,3,1570.0,3.0,1.0,115.0,3,112
3457,1,3,3000.0,3.0,3.0,400.0,0,112
3458,1,3,1665.0,3.0,2.0,86.91,3,112
3459,1,3,1350.0,3.0,1.0,380.0,2,112
3460,1,4,4000.0,5.0,2.0,600.0,2,95
3461,1,2,1100.0,2.0,0.0,68.0,2,92
3462,1,3,1350.0,2.0,1.0,87.01,3,112
3463,1,3,1719.0,3.0,2.0,116.0,0,66
3464,1,1,664.0,1.0,1.0,35.0,3,24
3465,0,2,1011.0,2.0,1.0,50.53,3,112
3466,1,6,2400.0,6.0,0.0,130.0,0,112
3467,1,3,1680.0,3.0,2.0,85.0,3,112
3468,1,2,717.0,2.0,0.0,49.475,3,111
3469,1,4,700.0,4.0,2.0,110.0,2,112
3470,1,3,1520.0,2.0,2.0,150.0,3,108
3471,1,3,1350.0,2.0,2.0,53.0,1,103
3473,1,2,875.0,2.0,1.0,33.0,3,112
3474,1,2,1231.0,2.0,2.0,48.0,3,45
3475,1,2,1174.0,2.0,3.0,74.0,3,96
3476,1,3,1560.0,3.0,3.0,75.0,0,112
3477,1,2,1464.0,2.0,2.0,56.0,3,112
3478,1,3,2200.0,3.0,2.0,130.0,2,65
3479,1,2,850.0,2.0,2.0,55.0,0,112
3480,1,3,1750.0,3.0,1.0,180.0,0,112
3482,1,2,1500.0,1.0,0.0,160.0,2,112
3484,1,3,2408.0,4.0,2.0,260.0,3,112
3485,1,2,1080.0,2.0,1.0,44.0,3,29
3486,1,3,2070.0,3.0,2.0,225.0,3,54
3487,0,2,1020.0,2.0,1.0,29.46,0,32
3488,1,3,1500.0,2.0,3.0,55.0,3,16
3489,1,4,1575.0,5.0,1.0,158.0,2,112
3490,1,4,3250.0,4.0,1.0,180.0,2,69
3491,1,2,1175.0,2.0,1.0,47.0,3,103
3492,1,2,1030.0,2.0,1.0,34.5,3,27
3493,0,2,1440.0,2.0,1.0,115.0,3,42
3494,1,2,1500.0,2.0,1.0,84.0,0,47
3496,1,2,1200.0,2.0,3.0,50.0,0,112
3497,1,1,705.0,1.0,2.0,36.5,0,112
3499,1,3,1584.01,3.0,1.0,103.0,3,44
3500,1,3,1340.0,3.0,3.0,77.0,3,112
3501,1,3,1800.0,3.0,2.0,70.0,3,112
3502,1,2,1200.0,2.0,3.0,45.0,3,87
3503,0,1,685.0,1.0,1.0,40.0,3,95
3504,1,2,925.0,2.0,3.0,42.0,3,112
3505,1,2,1230.0,2.0,2.0,57.0,3,112
3506,1,5,1200.0,5.0,1.0,185.0,2,112
3507,1,2,1125.0,2.0,1.0,52.0,3,69
3508,1,2,1100.0,2.0,1.0,54.0,3,42
3509,0,3,2400.0,3.0,2.0,149.0,2,58
3510,0,3,1400.0,2.0,2.0,41.58,3,33
3511,1,7,1200.0,7.0,2.0,225.0,2,103
3512,1,3,1858.0,3.0,1.0,98.3,3,56
3513,1,1,1260.0,1.0,1.0,41.0,2,112
3514,1,4,3530.0,4.0,2.0,290.0,0,6
3515,1,2,1185.0,2.0,2.0,60.0,3,39
3516,1,2,1200.0,2.0,1.0,216.0,2,112
3517,1,2,1255.0,2.0,1.0,58.0,3,45
3518,1,4,3436.0,6.0,3.0,475.0,3,90
3519,1,3,1335.0,3.0,2.0,89.0,0,74
3520,1,3,1999.0,3.0,2.0,132.0,3,30
3521,1,2,1200.0,2.0,1.0,125.0,2,112
3522,1,3,1397.0,3.0,2.0,110.0,3,76
3525,1,2,1200.0,2.0,1.0,130.0,2,110
3526,1,3,1616.0,3.0,0.0,95.0,2,112
3527,1,8,1200.0,7.0,2.0,350.0,2,112
3528,1,4,1270.0,2.0,1.0,175.0,0,112
3529,1,2,1140.0,2.0,2.0,38.55,3,89
3530,0,1,525.0,1.0,1.0,30.0,3,65
3531,1,3,1200.0,2.0,1.0,98.0,2,104
3532,1,1,700.0,1.0,1.0,162.0,0,112
3533,0,2,1205.47,2.0,1.0,81.0,3,12
3534,1,3,1200.0,3.0,2.0,130.0,2,112
3535,1,3,1700.0,3.0,2.0,75.0,3,32
3536,1,5,750.0,4.0,0.0,62.0,2,100
3537,0,2,1090.0,2.0,1.0,54.54,3,65
3540,0,1,923.0,1.0,1.0,60.84,3,100
3541,0,4,3595.0,6.0,2.0,360.0,3,112
3542,1,2,1050.0,2.0,2.0,48.0,3,37
3543,1,2,1495.0,2.0,2.0,79.5,3,108
3545,1,3,1485.0,3.0,2.0,85.0,0,112
3546,0,3,1033.0,2.0,2.0,31.5,3,112
3547,1,3,1400.0,2.0,1.0,48.0,3,32
3548,1,1,500.0,1.0,0.0,70.0,0,54
3549,1,2,944.0,2.0,1.0,35.0,3,95
3550,1,5,3250.0,5.0,0.0,290.0,0,108
3551,0,2,1216.0,2.0,1.0,66.48,3,108
3552,1,2,1100.0,2.0,1.0,39.5,3,112
3553,1,3,1743.0,3.0,2.0,93.25,3,100
3554,1,2,1274.0,2.0,2.0,48.42,3,109
3555,1,3,2500.0,3.0,2.0,425.0,3,112
3556,1,3,1512.0,2.0,2.0,110.0,3,81
3557,1,4,3100.0,5.0,1.0,385.0,3,112
3558,1,3,1650.0,3.0,3.0,100.0,3,112
3559,1,3,1875.0,3.0,1.0,55.0,0,31
3560,1,3,1350.0,3.0,2.0,54.0,0,108
3561,1,2,1219.0,2.0,2.0,40.0,3,112
3562,1,4,1200.0,4.0,1.0,150.0,2,112
3563,1,3,2400.0,3.0,3.0,85.0,2,112
3564,1,2,1141.0,2.0,1.0,44.4,3,49
3565,1,2,1151.0,2.0,1.0,43.1,3,7
3566,1,3,832.0,3.0,1.0,77.0,2,112
3567,1,2,915.0,2.0,1.0,38.0,3,95
3568,1,3,3259.0,3.0,0.0,270.0,2,112
3569,0,2,1115.0,2.0,1.0,65.12,3,14
3570,1,3,2072.0,4.0,2.0,139.0,3,101
3571,1,2,1200.0,2.0,2.0,53.0,3,61
3572,1,2,1300.0,2.0,2.0,65.0,3,112
3573,1,2,1457.0,2.0,2.0,85.0,3,17
3574,1,2,1262.0,2.0,2.0,55.0,3,112
3575,1,4,1196.0,3.0,1.0,150.0,2,112
3576,0,2,900.0,2.0,2.0,22.5,3,8
3577,1,1,420.0,1.0,1.0,17.0,0,10
3578,1,2,1160.0,2.0,1.0,46.39,3,64
3579,1,2,1115.0,2.0,2.0,50.0,3,66
3580,1,3,1315.0,2.0,1.0,85.4,0,55
3581,1,2,1500.0,2.0,2.0,57.0,0,112
3582,1,2,1127.0,2.0,1.0,68.0,3,39
3583,0,3,1397.0,3.0,2.0,104.0,3,76
3584,0,2,1173.0,2.0,1.0,60.0,0,108
3585,1,2,1090.0,2.0,2.0,28.0,3,112
3587,0,2,1230.0,2.0,1.0,76.0,3,56
3588,1,4,3200.0,3.0,3.0,190.0,3,112
3589,0,2,858.0,2.0,1.0,31.57,3,95
3590,0,3,1868.0,3.0,1.0,121.0,3,99
3591,1,3,1689.28,3.0,2.0,91.2,3,103
3592,1,4,600.0,3.0,2.0,73.0,0,112
3593,1,3,1425.0,3.0,3.0,49.88,3,13
3594,1,6,1200.0,6.0,2.0,170.0,2,97
3595,1,2,1350.0,2.0,1.0,100.0,2,112
3596,1,6,4200.0,6.0,0.0,180.0,0,27
3597,1,3,1310.0,2.0,1.0,85.0,3,103
